"AppName","Version","Publisher","Type"
"Microsoft.UI.Xaml.2.5","2.52012.2002.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.UI.Xaml.2.5","2.52012.2002.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.UI.Xaml.2.7","7.2409.9001.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.UI.Xaml.2.7","7.2409.9001.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.UI.Xaml.2.8","8.2501.31001.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.UI.Xaml.2.8","8.2501.31001.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.UI.Xaml.2.8","8.2310.30001.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.VCLibs.140.00","14.0.33519.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.VCLibs.140.00","14.0.33519.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.VCLibs.140.00.UWPDesktop","14.0.33728.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.VCLibs.140.00.UWPDesktop","14.0.33728.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.VP9VideoExtensions","1.2.12.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.Wallet","2.4.18324.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.WebMediaExtensions","1.2.17.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.WebpImageExtension","1.2.14.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.Win32WebViewHost","10.0.19041.4239","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.WinDbg","1.2603.20001.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.Windows.Apprep.ChxApp","1000.19041.4239.0","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.Windows.AssignedAccessLockApp","1000.19041.4239.0","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.Windows.CallingShellApp","1000.19041.4239.0","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.Windows.CapturePicker","10.0.19041.4239","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.Windows.CloudExperienceHost","10.0.19041.6396","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.Windows.ContentDeliveryManager","10.0.19041.4239","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.Windows.DevHome","0.2100.858.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.Windows.NarratorQuickStart","10.0.19041.4239","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
